[PROP/wald] K=1  FRcrit_avg=0.01541885  conf=0.99  steps=3  n=77160
half_norm=0.00099908  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=327680
EP_control=wald  E_wald_final=0.00099908
Wald_CI(99%):   [0.01441978, 0.01641793]   half=0.00099908   se=0.00038784   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.07560503 (n=77160)
injections_used=77160  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06986289649753759, 0.1438935227935459, 0.08976710325946086, 0.10586884193558839, 0.08152438925609123, 0.08620869986067911, 0.12854240579639709, 0.0943262174377916, 0.08600554043545879, 0.11400038272744946] Δmax = 0.003 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0151 per_class = [0.008728234684231392, 0.008948411864430527, 0.01266425496427525, 0.008584854943071636, 0.00854393468118196, 0.00828502756963099, 0.008548941985955983, 0.04192483151892172, 0.008619633347471605, 0.03572230862277519] agree = 0.985 flip_asym = 0.553

[E_seq] n, E_wald
663,0.01298029
60804,0.00115906
76793,0.00100311
77160,0.00099908

[E_final] E_wald=0.00099908

Top-100 worst injections (proposed iter EP)
  1) Inj  37560 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 80] bit 30
  2) Inj  43763 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 836] bit 30
  3) Inj  33719 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 338] bit 30
  4) Inj  32885 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 816] bit 30
  5) Inj  22800 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 966] bit 30
  6) Inj  15531 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 775] bit 30
  7) Inj   2905 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 298] bit 30
  8) Inj  18396 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 923] bit 30
  9) Inj  27404 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 878] bit 30
 10) Inj  10636 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 340] bit 30
 11) Inj  27765 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 45] bit 30
 12) Inj  70285 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 365] bit 30
 13) Inj  38166 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 828] bit 30
 14) Inj  53954 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 41] bit 30
 15) Inj  10136 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 840] bit 30
 16) Inj  27366 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 498] bit 30
 17) Inj  45120 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 245] bit 30
 18) Inj  51713 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 948] bit 30
 19) Inj  24231 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 707] bit 30
 20) Inj  55289 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 770] bit 30
 21) Inj  52127 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 140] bit 30
 22) Inj  45478 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 96] bit 30
 23) Inj  35971 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 616] bit 30
 24) Inj  34128 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 224] bit 30
 25) Inj  17317 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | fc [0, 51] bit 30
