[PROP/wald] K=1  FRcrit_avg=0.01994920  conf=0.99  steps=2  n=97611
half_norm=0.00099960  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=393216
EP_control=wald  E_wald_final=0.00099960
Wald_CI(99%):   [0.01894961, 0.02094880]   half=0.00099960   se=0.00038804   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10694832 (n=97611)
injections_used=97611  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06859158259571155, 0.145643045161406, 0.09835589418713055, 0.10428920344530841, 0.0802555472103554, 0.08558329587597709, 0.12701001135886325, 0.09297067889377222, 0.08467435470899796, 0.11262638656247759] Δmax = 0.009 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0196 per_class = [0.014718688286698643, 0.011294141361449348, 0.008380203050885658, 0.01471297444087396, 0.01463257214863079, 0.013894670962009683, 0.014724495469493473, 0.04802491522471852, 0.014714250722487499, 0.04134404250887024] agree = 0.980 flip_asym = 0.899

[E_seq] n, E_wald
663,0.01409776
65637,0.00128374
97611,0.00099960

[E_final] E_wald=0.00099960

Top-100 worst injections (proposed iter EP)
  1) Inj  10348 | FRcrit=0.941406 | maj=2@0.77 Δmax=0.684 KL=1.885 | inception3a.branch1.conv [44, 63, 0, 0] bit 30
  2) Inj  48234 | FRcrit=0.937500 | maj=5@0.70 Δmax=0.613 KL=1.829 | inception3a.branch1.conv [25, 170, 0, 0] bit 30
  3) Inj  79825 | FRcrit=0.937500 | maj=2@0.78 Δmax=0.691 KL=1.780 | inception3a.branch1.conv [40, 134, 0, 0] bit 30
  4) Inj  85766 | FRcrit=0.937500 | maj=2@0.55 Δmax=0.461 KL=1.717 | inception3a.branch1.conv [25, 1, 0, 0] bit 30
  5) Inj  19884 | FRcrit=0.929688 | maj=2@0.84 Δmax=0.750 KL=1.977 | inception3a.branch1.conv [52, 177, 0, 0] bit 30
  6) Inj  53289 | FRcrit=0.929688 | maj=2@0.90 Δmax=0.809 KL=2.086 | inception3a.branch1.conv [44, 96, 0, 0] bit 30
  7) Inj  69593 | FRcrit=0.929688 | maj=2@0.61 Δmax=0.516 KL=1.535 | inception3a.branch1.conv [60, 181, 0, 0] bit 30
  8) Inj  29996 | FRcrit=0.929688 | maj=2@0.57 Δmax=0.480 KL=1.746 | inception3a.branch1.conv [52, 148, 0, 0] bit 30
  9) Inj  89970 | FRcrit=0.929688 | maj=2@0.94 Δmax=0.852 KL=2.189 | inception3a.branch1.conv [52, 19, 0, 0] bit 30
 10) Inj  46595 | FRcrit=0.929688 | maj=2@0.71 Δmax=0.617 KL=1.818 | inception3a.branch1.conv [3, 147, 0, 0] bit 30
 11) Inj  90824 | FRcrit=0.929688 | maj=5@0.74 Δmax=0.656 KL=1.833 | inception3a.branch1.conv [9, 2, 0, 0] bit 30
