[PROP/wald] K=1  FRcrit_avg=0.02183454  conf=0.99  steps=2  n=116152
half_norm=0.00098989  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=589824
EP_control=wald  E_wald_final=0.00098989
Wald_CI(99%):   [0.02084464, 0.02282443]   half=0.00098989   se=0.00038428   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.11425846 (n=116152)
injections_used=116152  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06845017735381224, 0.14613031308113505, 0.10037157668400028, 0.10406420573903162, 0.08007032272367243, 0.08481525016788347, 0.12675369612662718, 0.09277468182855224, 0.08449592855697706, 0.11207384773830842] Δmax = 0.011 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0215 per_class = [0.016824303245645666, 0.012680960456289336, 0.008378077302006067, 0.01684765556244308, 0.016721623390040637, 0.016569589065112172, 0.01678338937275503, 0.050002755010675665, 0.01681691388713222, 0.043799791078357096] agree = 0.978 flip_asym = 0.924

[E_seq] n, E_wald
663,0.01497579
70985,0.00133877
116152,0.00098989

[E_final] E_wald=0.00098989

Top-100 worst injections (proposed iter EP)
  1) Inj  30921 | FRcrit=0.953125 | maj=2@0.53 Δmax=0.438 KL=1.714 | inception3a.branch2.0.conv [82, 72, 0, 0] bit 30
  2) Inj  10481 | FRcrit=0.945312 | maj=5@0.61 Δmax=0.527 KL=1.726 | inception3a.branch2.0.conv [69, 29, 0, 0] bit 30
  3) Inj   3519 | FRcrit=0.937500 | maj=5@0.50 Δmax=0.418 KL=1.693 | inception3a.branch2.0.conv [82, 127, 0, 0] bit 30
  4) Inj  20344 | FRcrit=0.937500 | maj=5@0.54 Δmax=0.457 KL=1.720 | inception3a.branch2.0.conv [82, 109, 0, 0] bit 30
  5) Inj  91681 | FRcrit=0.937500 | maj=2@0.69 Δmax=0.602 KL=1.645 | inception3a.branch2.0.conv [64, 115, 0, 0] bit 30
  6) Inj  59929 | FRcrit=0.937500 | maj=2@0.50 Δmax=0.414 KL=1.739 | inception3a.branch2.0.conv [69, 134, 0, 0] bit 30
  7) Inj  33048 | FRcrit=0.937500 | maj=2@0.75 Δmax=0.656 KL=1.722 | inception3a.branch2.0.conv [83, 141, 0, 0] bit 30
  8) Inj  16292 | FRcrit=0.933594 | maj=2@0.60 Δmax=0.512 KL=1.713 | inception3a.branch2.0.conv [82, 37, 0, 0] bit 30
  9) Inj  41734 | FRcrit=0.933594 | maj=2@0.88 Δmax=0.785 KL=1.925 | inception3a.branch2.0.conv [41, 69, 0, 0] bit 30
 10) Inj  59221 | FRcrit=0.933594 | maj=5@0.55 Δmax=0.461 KL=1.723 | inception3a.branch2.0.conv [82, 7, 0, 0] bit 30
 11) Inj   1386 | FRcrit=0.933594 | maj=5@0.62 Δmax=0.535 KL=1.774 | inception3a.branch2.0.conv [82, 84, 0, 0] bit 30
