[PROP/wald] K=1  FRcrit_avg=0.02071804  conf=0.99  steps=4  n=56820
half_norm=0.00099995  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=98304
EP_control=wald  E_wald_final=0.00099995
Wald_CI(99%):   [0.01971809, 0.02171800]   half=0.00099995   se=0.00038818   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.11070828 (n=56820)
injections_used=56820  pilot=660  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855936235040479, 0.14284239154347061, 0.09972645250351989, 0.10421149023231256, 0.08017787805790215, 0.08776124164026751, 0.12695188753959874, 0.09290900816173882, 0.08462262957585358, 0.11223765839493136] Δmax = 0.010 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.280 ΔH = -0.004 BER = 0.0202 per_class = [0.015293910594860965, 0.014751657676684076, 0.007804967632340113, 0.015435357920398398, 0.015295670538542767, 0.01226760743656203, 0.01532537625462652, 0.04862935586061246, 0.01531790982688554, 0.04224920802534319] agree = 0.979 flip_asym = 0.928

[E_seq] n, E_wald
660,0.01591541
44568,0.00127168
56317,0.00101038
56813,0.00100014
56820,0.00099995

[E_final] E_wald=0.00099995

Top-100 worst injections (proposed iter EP)
  1) Inj  51387 | FRcrit=0.949219 | maj=2@0.52 Δmax=0.426 KL=1.739 | inception3a.branch3.0.conv [5, 34, 0, 0] bit 30
  2) Inj   2708 | FRcrit=0.945312 | maj=2@0.75 Δmax=0.664 KL=1.863 | inception3a.branch3.0.conv [5, 81, 0, 0] bit 30
  3) Inj  56255 | FRcrit=0.945312 | maj=2@0.58 Δmax=0.488 KL=1.748 | inception3a.branch3.0.conv [5, 90, 0, 0] bit 30
  4) Inj  13351 | FRcrit=0.941406 | maj=2@0.65 Δmax=0.562 KL=1.694 | inception3a.branch3.0.conv [14, 34, 0, 0] bit 30
  5) Inj  49246 | FRcrit=0.941406 | maj=2@0.64 Δmax=0.551 KL=1.773 | inception3a.branch3.0.conv [5, 154, 0, 0] bit 30
  6) Inj  15553 | FRcrit=0.937500 | maj=2@0.50 Δmax=0.414 KL=1.739 | inception3a.branch3.0.conv [5, 110, 0, 0] bit 30
  7) Inj  47574 | FRcrit=0.937500 | maj=2@0.79 Δmax=0.695 KL=1.787 | inception3a.branch3.0.conv [15, 175, 0, 0] bit 30
  8) Inj  49325 | FRcrit=0.937500 | maj=2@0.72 Δmax=0.633 KL=1.832 | inception3a.branch3.0.conv [5, 52, 0, 0] bit 30
  9) Inj  54942 | FRcrit=0.937500 | maj=2@0.88 Δmax=0.785 KL=2.019 | inception3a.branch3.0.conv [14, 23, 0, 0] bit 30
 10) Inj   2825 | FRcrit=0.933594 | maj=5@0.83 Δmax=0.746 KL=1.870 | inception3a.branch3.0.conv [2, 34, 0, 0] bit 30
 11) Inj  26759 | FRcrit=0.933594 | maj=2@0.74 Δmax=0.652 KL=1.783 | inception3a.branch3.0.conv [14, 83, 0, 0] bit 30
