[PROP/wald] K=1  FRcrit_avg=0.01967662  conf=0.99  steps=3  n=96656
half_norm=0.00099938  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=393216
EP_control=wald  E_wald_final=0.00099938
Wald_CI(99%):   [0.01867723, 0.02067600]   half=0.00099938   se=0.00038796   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10487280 (n=96656)
injections_used=96656  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06859147227021603, 0.15110510308465072, 0.09368958115636898, 0.10427884229897781, 0.0802991084361033, 0.08467428140777603, 0.1270116443883463, 0.09296774773423275, 0.08507862289976825, 0.11230359632355984] Δmax = 0.007 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0197 per_class = [0.014697362143003203, 0.006016600527029264, 0.013148827216916289, 0.014696640855389407, 0.014627648568117862, 0.014699270891333464, 0.014697546563131731, 0.04801026320145671, 0.014273675339724007, 0.04167597803895602] agree = 0.980 flip_asym = 0.872

[E_seq] n, E_wald
663,0.01261115
61474,0.00132086
96068,0.00100405
96656,0.00099938

[E_final] E_wald=0.00099938

Top-100 worst injections (proposed iter EP)
  1) Inj  35213 | FRcrit=0.953125 | maj=1@0.53 Δmax=0.383 KL=1.399 | inception4c.branch3.0.conv [10, 266, 0, 0] bit 30
  2) Inj  51176 | FRcrit=0.941406 | maj=2@0.84 Δmax=0.750 KL=1.818 | inception4c.branch3.0.conv [3, 475, 0, 0] bit 30
  3) Inj  17268 | FRcrit=0.941406 | maj=2@0.73 Δmax=0.641 KL=1.631 | inception4c.branch3.0.conv [16, 503, 0, 0] bit 30
  4) Inj   7923 | FRcrit=0.937500 | maj=2@0.55 Δmax=0.465 KL=1.511 | inception4c.branch3.0.conv [13, 184, 0, 0] bit 30
  5) Inj  26063 | FRcrit=0.937500 | maj=2@0.89 Δmax=0.797 KL=2.003 | inception4c.branch3.0.conv [13, 465, 0, 0] bit 30
  6) Inj   4833 | FRcrit=0.937500 | maj=2@0.81 Δmax=0.719 KL=1.830 | inception4c.branch3.0.conv [19, 234, 0, 0] bit 30
  7) Inj  62737 | FRcrit=0.933594 | maj=2@0.77 Δmax=0.680 KL=1.743 | inception4c.branch3.0.conv [5, 475, 0, 0] bit 30
  8) Inj  72179 | FRcrit=0.929688 | maj=2@0.67 Δmax=0.578 KL=1.616 | inception4c.branch3.0.conv [19, 340, 0, 0] bit 30
  9) Inj   2843 | FRcrit=0.929688 | maj=2@0.70 Δmax=0.613 KL=1.660 | inception4c.branch3.0.conv [14, 311, 0, 0] bit 30
 10) Inj  58570 | FRcrit=0.929688 | maj=2@0.89 Δmax=0.801 KL=2.012 | inception4c.branch3.0.conv [12, 196, 0, 0] bit 30
 11) Inj  31821 | FRcrit=0.929688 | maj=2@0.52 Δmax=0.430 KL=1.489 | inception4c.branch3.0.conv [20, 479, 0, 0] bit 30
 12) Inj  43788 | FRcrit=0.929688 | maj=2@0.82 Δmax=0.727 KL=1.846 | inception4c.branch3.0.conv [12, 187, 0, 0] bit 30
 13) Inj  53899 | FRcrit=0.929688 | maj=8@0.46 Δmax=0.379 KL=1.267 | inception4c.branch3.0.conv [16, 396, 0, 0] bit 30
 14) Inj  51947 | FRcrit=0.929688 | maj=2@0.53 Δmax=0.441 KL=1.287 | inception4c.branch3.0.conv [4, 234, 0, 0] bit 30
 15) Inj  81511 | FRcrit=0.925781 | maj=2@0.68 Δmax=0.590 KL=1.630 | inception4c.branch3.0.conv [14, 184, 0, 0] bit 30
 16) Inj  28209 | FRcrit=0.925781 | maj=2@0.93 Δmax=0.836 KL=2.110 | inception4c.branch3.0.conv [1, 209, 0, 0] bit 30
 17) Inj  48456 | FRcrit=0.925781 | maj=2@0.60 Δmax=0.512 KL=1.319 | inception4c.branch3.0.conv [4, 345, 0, 0] bit 30
 18) Inj  54369 | FRcrit=0.925781 | maj=2@0.95 Δmax=0.863 KL=2.198 | inception4c.branch3.0.conv [17, 475, 0, 0] bit 30
 19) Inj  44110 | FRcrit=0.925781 | maj=2@0.93 Δmax=0.844 KL=2.121 | inception4c.branch3.0.conv [16, 508, 0, 0] bit 30
 20) Inj  90854 | FRcrit=0.925781 | maj=2@0.82 Δmax=0.727 KL=1.846 | inception4c.branch3.0.conv [14, 302, 0, 0] bit 30
 21) Inj  54055 | FRcrit=0.925781 | maj=2@0.90 Δmax=0.812 KL=2.043 | inception4c.branch3.0.conv [2, 503, 0, 0] bit 30
 22) Inj  72054 | FRcrit=0.925781 | maj=2@0.93 Δmax=0.840 KL=2.097 | inception4c.branch3.0.conv [3, 165, 0, 0] bit 30
 23) Inj  19166 | FRcrit=0.921875 | maj=2@0.82 Δmax=0.730 KL=1.853 | inception4c.branch3.0.conv [5, 190, 0, 0] bit 30
 24) Inj  56355 | FRcrit=0.921875 | maj=2@0.77 Δmax=0.684 KL=1.767 | inception4c.branch3.0.conv [16, 234, 0, 0] bit 30
 25) Inj  69039 | FRcrit=0.921875 | maj=2@0.94 Δmax=0.848 KL=2.134 | inception4c.branch3.0.conv [23, 287, 0, 0] bit 30
 26) Inj    572 | FRcrit=0.921875 | maj=2@0.52 Δmax=0.434 KL=1.387 | inception4c.branch3.0.conv [5, 302, 0, 0] bit 30
 27) Inj  34422 | FRcrit=0.921875 | maj=2@0.93 Δmax=0.844 KL=2.122 | inception4c.branch3.0.conv [2, 465, 0, 0] bit 30
