[PROP/wald] K=1  FRcrit_avg=0.02053508  conf=0.99  steps=2  n=119682
half_norm=0.00099393  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=1048576
EP_control=wald  E_wald_final=0.00099393
Wald_CI(99%):   [0.01954115, 0.02152902]   half=0.00099393   se=0.00038584   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10668121 (n=119682)
injections_used=119682  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0685339261020872, 0.15071887115439248, 0.08888695015750071, 0.10514406145034341, 0.08088749639670126, 0.08562008985269297, 0.1277949065022309, 0.09339753602254307, 0.0852577363868418, 0.1137584259746662] Δmax = 0.006 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0206 per_class = [0.015893588598020047, 0.006995791098663711, 0.018860124256816796, 0.015043878624032699, 0.01494585651977741, 0.014873505699193773, 0.014831981518701326, 0.048470112464698116, 0.014957440246957467, 0.04105239997103435] agree = 0.979 flip_asym = 0.686

[E_seq] n, E_wald
664,0.01610240
75657,0.00128719
119682,0.00099393

[E_final] E_wald=0.00099393

Top-100 worst injections (proposed iter EP)
  1) Inj  10142 | FRcrit=0.960938 | maj=4@0.86 Δmax=0.785 KL=2.066 | inception4c.branch4.1.conv [28, 224, 0, 0] bit 30
  2) Inj   2956 | FRcrit=0.960938 | maj=2@0.51 Δmax=0.422 KL=1.485 | inception4c.branch4.1.conv [21, 479, 0, 0] bit 30
  3) Inj   7690 | FRcrit=0.957031 | maj=8@0.81 Δmax=0.727 KL=1.842 | inception4c.branch4.1.conv [25, 218, 0, 0] bit 30
  4) Inj 112199 | FRcrit=0.945312 | maj=1@0.48 Δmax=0.371 KL=1.301 | inception4c.branch4.1.conv [16, 209, 0, 0] bit 30
  5) Inj  70627 | FRcrit=0.945312 | maj=4@0.71 Δmax=0.637 KL=1.776 | inception4c.branch4.1.conv [55, 465, 0, 0] bit 30
  6) Inj  44226 | FRcrit=0.941406 | maj=4@0.83 Δmax=0.754 KL=1.993 | inception4c.branch4.1.conv [28, 205, 0, 0] bit 30
  7) Inj  98382 | FRcrit=0.937500 | maj=6@0.62 Δmax=0.492 KL=1.575 | inception4c.branch4.1.conv [53, 480, 0, 0] bit 30
  8) Inj  94521 | FRcrit=0.933594 | maj=3@0.79 Δmax=0.688 KL=1.674 | inception4c.branch4.1.conv [49, 366, 0, 0] bit 30
  9) Inj  82561 | FRcrit=0.933594 | maj=4@0.63 Δmax=0.555 KL=1.708 | inception4c.branch4.1.conv [53, 479, 0, 0] bit 30
 10) Inj  26182 | FRcrit=0.933594 | maj=4@0.64 Δmax=0.562 KL=1.716 | inception4c.branch4.1.conv [53, 506, 0, 0] bit 30
 11) Inj  69519 | FRcrit=0.933594 | maj=4@0.96 Δmax=0.879 KL=2.346 | inception4c.branch4.1.conv [31, 193, 0, 0] bit 30
 12) Inj  28763 | FRcrit=0.929688 | maj=4@0.95 Δmax=0.875 KL=2.331 | inception4c.branch4.1.conv [51, 215, 0, 0] bit 30
 13) Inj  62705 | FRcrit=0.929688 | maj=1@0.51 Δmax=0.398 KL=1.473 | inception4c.branch4.1.conv [43, 465, 0, 0] bit 30
 14) Inj  41743 | FRcrit=0.929688 | maj=7@0.78 Δmax=0.680 KL=1.640 | inception4c.branch4.1.conv [50, 500, 0, 0] bit 30
 15) Inj  18416 | FRcrit=0.929688 | maj=8@0.92 Δmax=0.836 KL=2.139 | inception4c.branch4.1.conv [14, 331, 0, 0] bit 30
 16) Inj  21705 | FRcrit=0.929688 | maj=4@0.54 Δmax=0.461 KL=1.629 | inception4c.branch4.1.conv [53, 261, 0, 0] bit 30
 17) Inj  38659 | FRcrit=0.929688 | maj=4@0.65 Δmax=0.574 KL=1.646 | inception4c.branch4.1.conv [57, 228, 0, 0] bit 30
 18) Inj  68278 | FRcrit=0.929688 | maj=1@0.79 Δmax=0.645 KL=1.425 | inception4c.branch4.1.conv [40, 479, 0, 0] bit 30
 19) Inj  14665 | FRcrit=0.925781 | maj=2@0.84 Δmax=0.754 KL=1.902 | inception4c.branch4.1.conv [9, 299, 0, 0] bit 30
 20) Inj  61200 | FRcrit=0.925781 | maj=4@0.99 Δmax=0.914 KL=2.499 | inception4c.branch4.1.conv [53, 186, 0, 0] bit 30
 21) Inj  25353 | FRcrit=0.925781 | maj=4@0.77 Δmax=0.695 KL=1.856 | inception4c.branch4.1.conv [55, 463, 0, 0] bit 30
 22) Inj  13569 | FRcrit=0.925781 | maj=3@0.83 Δmax=0.727 KL=1.727 | inception4c.branch4.1.conv [12, 214, 0, 0] bit 30
 23) Inj  56163 | FRcrit=0.925781 | maj=5@0.93 Δmax=0.848 KL=2.175 | inception4c.branch4.1.conv [36, 164, 0, 0] bit 30
 24) Inj  20275 | FRcrit=0.925781 | maj=4@0.94 Δmax=0.863 KL=2.290 | inception4c.branch4.1.conv [20, 303, 0, 0] bit 30
 25) Inj   6254 | FRcrit=0.925781 | maj=7@0.78 Δmax=0.684 KL=1.715 | inception4c.branch4.1.conv [34, 337, 0, 0] bit 30
 26) Inj 112797 | FRcrit=0.925781 | maj=4@0.95 Δmax=0.867 KL=2.304 | inception4c.branch4.1.conv [31, 268, 0, 0] bit 30
 27) Inj  15357 | FRcrit=0.925781 | maj=4@0.95 Δmax=0.875 KL=2.331 | inception4c.branch4.1.conv [51, 453, 0, 0] bit 30
 28) Inj  38345 | FRcrit=0.925781 | maj=8@0.87 Δmax=0.785 KL=1.987 | inception4c.branch4.1.conv [14, 174, 0, 0] bit 30
