[PROP/wald] K=1  FRcrit_avg=0.02091107  conf=0.99  steps=1  n=1407
half_norm=0.00982648  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=175253504
EP_control=wald  E_wald_final=0.00982648
Wald_CI(99%):   [0.01108459, 0.03073755]   half=0.00982648   se=0.00381463   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11120640 (n=1407)
injections_used=1407  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07018201403695806, 0.14398987206823027, 0.09281994047619048, 0.10561034115138593, 0.08153151652452026, 0.08601523631840796, 0.12760139036958068, 0.09286436122956646, 0.08585976368159204, 0.11352556414356788] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0205 per_class = [0.014047410008779631, 0.013868879540521331, 0.014678161985105529, 0.014214641080312722, 0.014250177683013504, 0.014214641080312722, 0.014925373134328358, 0.04906894100923952, 0.014376171092589003, 0.04155413409144752] agree = 0.979 flip_asym = 0.582

[E_seq] n, E_wald
664,0.01455273
1407,0.00982648

[E_final] E_wald=0.00982648

Top-100 worst injections (proposed iter EP)
  1) Inj   1383 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch4.1.conv [59, 129, 0, 0] bit 30
  2) Inj    851 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch1.conv [188, 826, 0, 0] bit 30
  3) Inj      6 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5a.branch4.1.conv [73, 96, 0, 0] bit 30
  4) Inj    890 | FRcrit=0.917969 | maj=8@0.78 Δmax=0.695 KL=1.985 | inception5a.branch2.0.conv [159, 801, 0, 0] bit 30
  5) Inj    543 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.0.conv [109, 189, 0, 0] bit 30
  6) Inj    225 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4e.branch1.conv [135, 382, 0, 0] bit 30
  7) Inj   1256 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch2.0.conv [90, 82, 0, 0] bit 30
  8) Inj    925 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.902 KL=2.356 | inception3a.branch3.1.conv [15, 5, 0, 1] bit 30
  9) Inj    469 | FRcrit=0.914062 | maj=4@0.92 Δmax=0.840 KL=2.215 | inception4c.branch1.conv [41, 372, 0, 0] bit 30
 10) Inj    143 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.898 KL=2.340 | inception3b.branch2.0.conv [120, 140, 0, 0] bit 30
 11) Inj   1233 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [32, 470, 0, 0] bit 30
 12) Inj     46 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [372, 126, 2, 1] bit 30
