[PROP/wald] K=1  FRcrit_avg=0.03194319  conf=0.99  steps=1  n=2564
half_norm=0.00887657  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=165888
EP_control=wald  E_wald_final=0.00887657
Wald_CI(99%):   [0.02306662, 0.04081976]   half=0.00887657   se=0.00344587   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.14646762 (n=2564)
injections_used=2564  pilot=661  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06770274717238689, 0.1446485593798752, 0.10965227671606864, 0.10289708463338533, 0.07917621392355695, 0.08445361251950079, 0.12536259262870514, 0.09170241809672387, 0.08357607741809672, 0.11082841751170047] Δmax = 0.020 KL = 0.003 TV = 0.022 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0316 per_class = [0.027989354868312378, 0.02310578909642872, 0.009529946415247915, 0.028297798578609812, 0.02761310452418097, 0.02770883562615232, 0.027880206117335604, 0.061045241809672385, 0.027921571408310877, 0.0547061882475299] agree = 0.968 flip_asym = 0.932

[E_seq] n, E_wald
661,0.01980775
2564,0.00887657

[E_final] E_wald=0.00887657

Top-100 worst injections (proposed iter EP)
  1) Inj   1213 | FRcrit=0.933594 | maj=2@0.92 Δmax=0.828 KL=2.073 | conv1.conv [173, 1, 2, 1] bit 30
  2) Inj    141 | FRcrit=0.925781 | maj=2@0.92 Δmax=0.828 KL=2.087 | conv1.conv [151, 0, 1, 2] bit 30
  3) Inj    406 | FRcrit=0.925781 | maj=2@0.91 Δmax=0.816 KL=2.039 | conv1.conv [151, 1, 1, 1] bit 30
  4) Inj    175 | FRcrit=0.921875 | maj=2@0.89 Δmax=0.797 KL=2.003 | conv1.conv [138, 0, 2, 0] bit 30
  5) Inj    456 | FRcrit=0.921875 | maj=2@0.88 Δmax=0.793 KL=1.977 | conv1.conv [134, 1, 0, 0] bit 30
  6) Inj   2355 | FRcrit=0.917969 | maj=2@0.80 Δmax=0.707 KL=1.893 | conv1.conv [52, 1, 0, 1] bit 30
  7) Inj    865 | FRcrit=0.917969 | maj=2@0.77 Δmax=0.684 KL=1.748 | conv1.conv [69, 1, 2, 0] bit 30
  8) Inj   1880 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.891 KL=2.304 | conv1.conv [73, 0, 0, 1] bit 30
  9) Inj    685 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.859 KL=2.211 | conv1.conv [62, 2, 2, 1] bit 30
 10) Inj   1514 | FRcrit=0.914062 | maj=2@0.97 Δmax=0.883 KL=2.261 | conv1.conv [36, 1, 2, 2] bit 30
 11) Inj   1555 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.898 KL=2.346 | conv1.conv [1, 1, 0, 1] bit 30
 12) Inj   1640 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.875 KL=2.230 | conv1.conv [60, 1, 0, 2] bit 30
 13) Inj   1718 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.875 KL=2.231 | conv1.conv [14, 2, 0, 0] bit 30
 14) Inj    850 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.895 KL=2.322 | conv1.conv [88, 0, 1, 1] bit 30
 15) Inj   1812 | FRcrit=0.914062 | maj=2@0.89 Δmax=0.805 KL=1.993 | conv1.conv [191, 1, 1, 0] bit 30
 16) Inj    770 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [113, 0, 2, 0] bit 30
 17) Inj    541 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [46, 0, 1, 2] bit 30
 18) Inj   1545 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | conv1.conv [104, 2, 2, 1] bit 30
 19) Inj   1985 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [37, 0, 2, 0] bit 30
 20) Inj   2173 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [176, 1, 0, 2] bit 30
 21) Inj   2089 | FRcrit=0.910156 | maj=2@0.96 Δmax=0.871 KL=2.216 | conv1.conv [139, 2, 0, 0] bit 30
 22) Inj   2383 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [124, 0, 1, 2] bit 30
 23) Inj    561 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.384 | conv1.conv [42, 0, 1, 2] bit 30
 24) Inj    760 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [124, 1, 1, 0] bit 30
 25) Inj   2199 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [113, 0, 2, 1] bit 30
 26) Inj     77 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [106, 2, 2, 2] bit 30
 27) Inj   2044 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [61, 0, 0, 1] bit 30
 28) Inj     87 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [78, 1, 2, 1] bit 30
 29) Inj   2505 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [77, 0, 1, 0] bit 30
 30) Inj   1973 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.898 KL=2.340 | conv1.conv [104, 0, 1, 1] bit 30
 31) Inj   2268 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [85, 2, 2, 0] bit 30
 32) Inj    979 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | conv1.conv [108, 0, 0, 0] bit 30
 33) Inj   1513 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.383 | conv1.conv [48, 1, 1, 0] bit 30
 34) Inj   1047 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.902 KL=2.356 | conv1.conv [140, 1, 2, 2] bit 30
 35) Inj    290 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.898 KL=2.339 | conv1.conv [92, 2, 2, 0] bit 30
 36) Inj   2175 | FRcrit=0.906250 | maj=2@0.86 Δmax=0.773 KL=1.930 | conv1.conv [173, 2, 0, 2] bit 30
 37) Inj    527 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.385 | conv1.conv [178, 2, 2, 1] bit 30
 38) Inj    600 | FRcrit=0.906250 | maj=2@0.98 Δmax=0.895 KL=2.312 | conv1.conv [42, 2, 0, 1] bit 30
 39) Inj    358 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.385 | conv1.conv [147, 2, 2, 0] bit 30
 40) Inj    352 | FRcrit=0.906250 | maj=2@0.86 Δmax=0.770 KL=2.010 | conv1.conv [27, 1, 1, 2] bit 30
 41) Inj   2045 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.898 KL=2.335 | conv1.conv [2, 2, 0, 2] bit 30
 42) Inj    700 | FRcrit=0.906250 | maj=2@0.82 Δmax=0.727 KL=1.829 | conv1.conv [145, 2, 0, 1] bit 30
 43) Inj   2247 | FRcrit=0.906250 | maj=2@0.97 Δmax=0.883 KL=2.271 | conv1.conv [170, 1, 0, 1] bit 30
 44) Inj   1078 | FRcrit=0.906250 | maj=2@0.84 Δmax=0.754 KL=1.902 | conv1.conv [74, 1, 1, 2] bit 30
 45) Inj   1469 | FRcrit=0.906250 | maj=2@0.52 Δmax=0.430 KL=1.716 | conv1.conv [179, 2, 2, 2] bit 30
 46) Inj    410 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.902 KL=2.357 | conv1.conv [126, 2, 1, 0] bit 30
 47) Inj     70 | FRcrit=0.902344 | maj=1@0.51 Δmax=0.391 KL=1.426 | conv1.conv [161, 1, 0, 0] bit 30
 48) Inj   1389 | FRcrit=0.902344 | maj=2@0.84 Δmax=0.754 KL=1.902 | conv1.conv [67, 0, 2, 2] bit 30
 49) Inj     25 | FRcrit=0.902344 | maj=2@0.84 Δmax=0.750 KL=1.894 | conv1.conv [145, 0, 0, 0] bit 30
 50) Inj    812 | FRcrit=0.898438 | maj=2@0.93 Δmax=0.844 KL=2.134 | conv1.conv [183, 2, 0, 1] bit 30
 51) Inj   1046 | FRcrit=0.898438 | maj=2@0.91 Δmax=0.816 KL=2.040 | conv1.conv [134, 2, 2, 0] bit 30
 52) Inj   1520 | FRcrit=0.898438 | maj=2@0.80 Δmax=0.715 KL=1.906 | conv1.conv [89, 2, 1, 2] bit 30
 53) Inj   2073 | FRcrit=0.898438 | maj=2@0.63 Δmax=0.539 KL=1.745 | conv1.conv [27, 2, 0, 1] bit 30
 54) Inj   1654 | FRcrit=0.894531 | maj=2@0.61 Δmax=0.516 KL=1.498 | conv1.conv [137, 0, 2, 2] bit 30
 55) Inj    837 | FRcrit=0.894531 | maj=2@0.63 Δmax=0.543 KL=1.747 | conv1.conv [20, 2, 2, 0] bit 30
