[PROP/wald] K=1  FRcrit_avg=0.02154011  conf=0.99  steps=1  n=1542
half_norm=0.00952356  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2949120
EP_control=wald  E_wald_final=0.00952356
Wald_CI(99%):   [0.01201655, 0.03106366]   half=0.00952356   se=0.00369703   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11212867 (n=1542)
injections_used=1542  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06849110327496757, 0.15187763456549935, 0.09053785667963683, 0.10401213926718547, 0.08029345006485085, 0.08670253728923476, 0.12818681095979248, 0.09275443822957198, 0.08448848897535668, 0.11265554069390402] Δmax = 0.007 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0216 per_class = [0.016823071641107804, 0.007291338030637641, 0.017904471888569334, 0.016861219195849545, 0.016601815823605707, 0.014561962032779154, 0.015505247022756751, 0.05019455252918288, 0.016861219195849545, 0.0433852140077821] agree = 0.978 flip_asym = 0.807

[E_seq] n, E_wald
664,0.01523841
1542,0.00952356

[E_final] E_wald=0.00952356

Top-100 worst injections (proposed iter EP)
  1) Inj    866 | FRcrit=0.921875 | maj=2@0.81 Δmax=0.719 KL=1.830 | inception4a.branch1.conv [117, 417, 0, 0] bit 30
  2) Inj    887 | FRcrit=0.917969 | maj=5@0.97 Δmax=0.883 KL=2.289 | inception4a.branch1.conv [8, 183, 0, 0] bit 30
  3) Inj   1071 | FRcrit=0.914062 | maj=2@0.82 Δmax=0.730 KL=1.891 | inception4a.branch1.conv [180, 347, 0, 0] bit 30
  4) Inj    122 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch1.conv [191, 99, 0, 0] bit 30
  5) Inj    291 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch1.conv [135, 25, 0, 0] bit 30
  6) Inj    604 | FRcrit=0.910156 | maj=2@0.93 Δmax=0.844 KL=2.134 | inception4a.branch1.conv [172, 10, 0, 0] bit 30
  7) Inj    739 | FRcrit=0.898438 | maj=1@0.82 Δmax=0.672 KL=1.545 | inception4a.branch1.conv [113, 64, 0, 0] bit 30
  8) Inj   1183 | FRcrit=0.894531 | maj=1@0.73 Δmax=0.582 KL=1.379 | inception4a.branch1.conv [188, 422, 0, 0] bit 30
  9) Inj   1454 | FRcrit=0.878906 | maj=1@0.63 Δmax=0.488 KL=1.319 | inception4a.branch1.conv [109, 360, 0, 0] bit 30
 10) Inj    511 | FRcrit=0.875000 | maj=9@0.78 Δmax=0.660 KL=1.683 | inception4a.branch1.conv [103, 236, 0, 0] bit 30
 11) Inj   1355 | FRcrit=0.875000 | maj=6@0.59 Δmax=0.461 KL=1.325 | inception4a.branch1.conv [97, 208, 0, 0] bit 30
 12) Inj    217 | FRcrit=0.875000 | maj=2@0.64 Δmax=0.547 KL=1.582 | inception4a.branch1.conv [47, 353, 0, 0] bit 30
 13) Inj   1209 | FRcrit=0.875000 | maj=1@0.79 Δmax=0.648 KL=1.436 | inception4a.branch1.conv [61, 306, 0, 0] bit 30
 14) Inj    189 | FRcrit=0.871094 | maj=6@1.00 Δmax=0.871 KL=2.049 | inception4a.branch1.conv [16, 320, 0, 0] bit 30
 15) Inj   1228 | FRcrit=0.863281 | maj=1@0.98 Δmax=0.832 KL=1.841 | inception4a.branch1.conv [100, 324, 0, 0] bit 30
 16) Inj   1542 | FRcrit=0.859375 | maj=1@0.69 Δmax=0.547 KL=1.463 | inception4a.branch1.conv [9, 229, 0, 0] bit 30
 17) Inj    255 | FRcrit=0.855469 | maj=1@0.98 Δmax=0.836 KL=1.853 | inception4a.branch1.conv [177, 345, 0, 0] bit 30
 18) Inj    319 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [54, 99, 0, 0] bit 30
 19) Inj    272 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [109, 405, 0, 0] bit 30
 20) Inj   1072 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [97, 78, 0, 0] bit 30
 21) Inj    786 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [104, 370, 0, 0] bit 30
 22) Inj     85 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [86, 275, 0, 0] bit 30
 23) Inj   1016 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4a.branch1.conv [80, 362, 0, 0] bit 30
 24) Inj    589 | FRcrit=0.851562 | maj=1@0.50 Δmax=0.359 KL=1.215 | inception4a.branch1.conv [112, 128, 0, 0] bit 30
 25) Inj    637 | FRcrit=0.851562 | maj=1@0.98 Δmax=0.832 KL=1.820 | inception4a.branch1.conv [101, 223, 0, 0] bit 30
 26) Inj    121 | FRcrit=0.851562 | maj=1@0.93 Δmax=0.785 KL=1.658 | inception4a.branch1.conv [175, 42, 0, 0] bit 30
 27) Inj     41 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [71, 63, 0, 0] bit 7
 28) Inj     68 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [29, 374, 0, 0] bit 13
 29) Inj     54 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [88, 385, 0, 0] bit 5
 30) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [12, 168, 0, 0] bit 29
 31) Inj     92 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [9, 1, 0, 0] bit 24
 32) Inj    131 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [91, 264, 0, 0] bit 18
 33) Inj    166 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [165, 164, 0, 0] bit 20
 34) Inj    298 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [149, 381, 0, 0] bit 4
 35) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [184, 311, 0, 0] bit 3
 36) Inj    293 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [85, 102, 0, 0] bit 3
 37) Inj    464 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [135, 354, 0, 0] bit 7
 38) Inj    182 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [60, 144, 0, 0] bit 17
 39) Inj    135 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [74, 5, 0, 0] bit 15
 40) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [3, 290, 0, 0] bit 20
 41) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [127, 275, 0, 0] bit 10
 42) Inj    370 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [37, 387, 0, 0] bit 26
 43) Inj    345 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [11, 49, 0, 0] bit 26
 44) Inj    392 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [130, 260, 0, 0] bit 28
 45) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [35, 192, 0, 0] bit 9
 46) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [143, 279, 0, 0] bit 22
 47) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch1.conv [91, 239, 0, 0] bit 27
