[PROP/wald] K=1  FRcrit_avg=0.02317820  conf=0.99  steps=1  n=1868
half_norm=0.00896819  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2621440
EP_control=wald  E_wald_final=0.00896819
Wald_CI(99%):   [0.01421001, 0.03214639]   half=0.00896819   se=0.00348144   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11822858 (n=1868)
injections_used=1868  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06832173447537473, 0.15108279242505354, 0.08995876271413276, 0.10730268000535331, 0.07987946667558886, 0.08708344486081371, 0.12702631490899358, 0.09261032855995717, 0.08486265390792291, 0.11187182146680942] Δmax = 0.007 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0232 per_class = [0.01873661670235546, 0.00930320041669078, 0.02038916302020296, 0.015266872868585931, 0.01873661670235546, 0.015962624099669066, 0.018201284796573874, 0.05169164882226981, 0.018201284796573874, 0.04568165596002855] agree = 0.977 flip_asym = 0.792

[E_seq] n, E_wald
664,0.01677112
1868,0.00896819

[E_final] E_wald=0.00896819

Top-100 worst injections (proposed iter EP)
  1) Inj   1809 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.840 KL=2.137 | inception4b.branch1.conv [73, 277, 0, 0] bit 30
  2) Inj   1770 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [41, 368, 0, 0] bit 30
  3) Inj   1837 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [13, 11, 0, 0] bit 30
  4) Inj    177 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [51, 17, 0, 0] bit 30
  5) Inj    463 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [41, 69, 0, 0] bit 30
  6) Inj   1473 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [140, 18, 0, 0] bit 30
  7) Inj    986 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch1.conv [75, 362, 0, 0] bit 30
  8) Inj   1519 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch1.conv [110, 369, 0, 0] bit 30
  9) Inj    847 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch1.conv [110, 257, 0, 0] bit 30
 10) Inj   1645 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch1.conv [31, 100, 0, 0] bit 30
 11) Inj   1474 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4b.branch1.conv [148, 236, 0, 0] bit 30
