[PROP/wald] K=1  FRcrit_avg=0.01975481  conf=0.99  steps=1  n=1293
half_norm=0.00996897  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=11943936
EP_control=wald  E_wald_final=0.00996897
Wald_CI(99%):   [0.00978584, 0.02972378]   half=0.00996897   se=0.00386994   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10524791 (n=1293)
injections_used=1293  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06862976121423048, 0.14910213650425366, 0.09022138437741686, 0.10503673627223511, 0.08078958816705337, 0.08544506477184842, 0.12701203596287702, 0.09295545726991493, 0.08467469064191802, 0.11613314481825213] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0197 per_class = [0.014694508894044857, 0.008110198365418783, 0.01654393221022899, 0.013921113689095127, 0.014385150812064965, 0.013956268016592843, 0.014694508894044857, 0.048167053364269144, 0.014694508894044857, 0.038128383604021654] agree = 0.980 flip_asym = 0.753

[E_seq] n, E_wald
664,0.01395378
1293,0.00996897

[E_final] E_wald=0.00996897

Top-100 worst injections (proposed iter EP)
  1) Inj   1242 | FRcrit=0.957031 | maj=4@0.70 Δmax=0.625 KL=1.759 | inception4d.branch2.1.conv [121, 26, 2, 2] bit 30
  2) Inj   1285 | FRcrit=0.917969 | maj=5@1.00 Δmax=0.910 KL=2.428 | inception4d.branch2.1.conv [33, 25, 0, 2] bit 30
  3) Inj    543 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [154, 90, 1, 2] bit 30
  4) Inj    863 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [104, 78, 0, 0] bit 30
  5) Inj   1286 | FRcrit=0.906250 | maj=1@0.64 Δmax=0.492 KL=1.452 | inception4d.branch2.1.conv [180, 6, 1, 1] bit 30
  6) Inj    164 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch2.1.conv [245, 41, 2, 0] bit 30
  7) Inj    229 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.1.conv [205, 108, 0, 0] bit 30
  8) Inj    968 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.1.conv [26, 61, 0, 2] bit 30
  9) Inj    717 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.1.conv [40, 65, 1, 0] bit 30
 10) Inj    529 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.1.conv [26, 121, 1, 0] bit 30
 11) Inj   1113 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.1.conv [99, 21, 2, 2] bit 30
 12) Inj    221 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [178, 134, 1, 2] bit 30
 13) Inj    570 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [230, 100, 1, 0] bit 30
 14) Inj    274 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [287, 52, 2, 1] bit 30
 15) Inj    769 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [68, 29, 0, 2] bit 30
 16) Inj    995 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [164, 70, 0, 0] bit 30
 17) Inj    432 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [228, 51, 2, 0] bit 30
 18) Inj    445 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch2.1.conv [225, 16, 2, 2] bit 30
 19) Inj    281 | FRcrit=0.832031 | maj=1@0.72 Δmax=0.578 KL=1.476 | inception4d.branch2.1.conv [229, 81, 1, 2] bit 30
 20) Inj     41 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [210, 131, 0, 0] bit 14
 21) Inj     30 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [226, 67, 1, 1] bit 19
 22) Inj     68 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [129, 68, 1, 1] bit 25
 23) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [230, 71, 1, 0] bit 25
 24) Inj    182 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [220, 24, 0, 0] bit 3
 25) Inj     92 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [117, 64, 2, 2] bit 8
 26) Inj     12 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [88, 53, 0, 1] bit 28
 27) Inj      3 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [16, 54, 1, 0] bit 15
 28) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [73, 103, 0, 1] bit 11
 29) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [101, 59, 1, 2] bit 11
 30) Inj    147 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [172, 55, 2, 2] bit 14
 31) Inj    298 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [15, 106, 2, 0] bit 4
 32) Inj    237 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [226, 113, 0, 2] bit 30
 33) Inj    389 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [109, 10, 1, 2] bit 20
