[PROP/wald] K=1  FRcrit_avg=0.02155950  conf=0.99  steps=1  n=1404
half_norm=0.00998502  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00998502
Wald_CI(99%):   [0.01157448, 0.03154451]   half=0.00998502   se=0.00387617   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11166756 (n=1404)
injections_used=1404  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06909666577635327, 0.14876580306267806, 0.09021656873219373, 0.10613926727207977, 0.0815749643874644, 0.08589298433048433, 0.12679732015669515, 0.09280960648148148, 0.08452969195156695, 0.11417712784900284] Δmax = 0.005 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0215 per_class = [0.01608848667672197, 0.009875259875259876, 0.018146909451257277, 0.014930885301255671, 0.015242165242165243, 0.015572390572390573, 0.016468099801433135, 0.05, 0.01638176638176638, 0.04195156695156695] agree = 0.978 flip_asym = 0.673

[E_seq] n, E_wald
664,0.01453919
1404,0.00998502

[E_final] E_wald=0.00998502

Top-100 worst injections (proposed iter EP)
  1) Inj   1247 | FRcrit=0.921875 | maj=0@0.88 Δmax=0.809 KL=2.238 | inception4d.branch4.1.conv [9, 145, 0, 0] bit 30
  2) Inj   1273 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch4.1.conv [7, 42, 0, 0] bit 30
  3) Inj   1277 | FRcrit=0.917969 | maj=4@0.96 Δmax=0.883 KL=2.369 | inception4d.branch4.1.conv [63, 148, 0, 0] bit 30
  4) Inj   1310 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch4.1.conv [36, 390, 0, 0] bit 30
  5) Inj    465 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.902 KL=2.384 | inception4d.branch4.1.conv [18, 331, 0, 0] bit 30
  6) Inj    610 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch4.1.conv [32, 430, 0, 0] bit 30
  7) Inj   1098 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch4.1.conv [55, 211, 0, 0] bit 30
  8) Inj    768 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch4.1.conv [32, 346, 0, 0] bit 30
  9) Inj   1259 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch4.1.conv [51, 151, 0, 0] bit 30
 10) Inj    734 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch4.1.conv [50, 194, 0, 0] bit 30
 11) Inj    405 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception4d.branch4.1.conv [30, 299, 0, 0] bit 30
 12) Inj    992 | FRcrit=0.886719 | maj=9@0.98 Δmax=0.867 KL=2.060 | inception4d.branch4.1.conv [45, 499, 0, 0] bit 30
 13) Inj     37 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch4.1.conv [31, 112, 0, 0] bit 30
 14) Inj    193 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch4.1.conv [57, 68, 0, 0] bit 30
 15) Inj    314 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [10, 362, 0, 0] bit 30
 16) Inj   1152 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [15, 439, 0, 0] bit 30
 17) Inj    316 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [28, 90, 0, 0] bit 30
 18) Inj   1253 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [20, 411, 0, 0] bit 30
 19) Inj    543 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [9, 189, 0, 0] bit 30
 20) Inj    259 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [43, 151, 0, 0] bit 30
 21) Inj    989 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [2, 385, 0, 0] bit 30
 22) Inj    409 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [4, 306, 0, 0] bit 30
 23) Inj    598 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception4d.branch4.1.conv [54, 152, 0, 0] bit 30
