[PROP/wald] K=1  FRcrit_avg=0.01878065  conf=0.99  steps=2  n=1249
half_norm=0.00989471  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=14745600
EP_control=wald  E_wald_final=0.00989471
Wald_CI(99%):   [0.00888594, 0.02867536]   half=0.00989471   se=0.00384111   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10169170 (n=1249)
injections_used=1249  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06875500400320256, 0.1442654123298639, 0.08987815252201761, 0.10518101981585268, 0.0803236339071257, 0.08605947257806244, 0.1271673588871097, 0.09306507706164932, 0.09123861589271418, 0.11406625300240192] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0184 per_class = [0.01290444120001884, 0.011317161837578171, 0.015838757962892053, 0.012810248198558846, 0.013610888710968775, 0.01200960768614892, 0.013489579542421816, 0.04701361088871097, 0.006441516849843511, 0.03869762476647985] agree = 0.981 flip_asym = 0.791

[E_seq] n, E_wald
664,0.01347771
1207,0.01016938
1249,0.00989471

[E_final] E_wald=0.00989471

Top-100 worst injections (proposed iter EP)
  1) Inj    668 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [292, 15, 0, 2] bit 30
  2) Inj    571 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [23, 39, 2, 2] bit 30
  3) Inj   1046 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [23, 125, 0, 2] bit 30
  4) Inj    206 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [220, 121, 2, 0] bit 30
  5) Inj    505 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [304, 34, 2, 1] bit 30
  6) Inj    500 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [190, 69, 2, 1] bit 30
  7) Inj    473 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [287, 78, 2, 1] bit 30
  8) Inj    917 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [94, 14, 0, 0] bit 30
  9) Inj   1080 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch2.1.conv [148, 6, 0, 0] bit 30
 10) Inj    549 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5a.branch2.1.conv [202, 96, 2, 2] bit 30
 11) Inj    798 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5a.branch2.1.conv [61, 61, 0, 2] bit 30
 12) Inj    292 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5a.branch2.1.conv [204, 17, 0, 2] bit 30
 13) Inj    804 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception5a.branch2.1.conv [196, 74, 2, 2] bit 30
 14) Inj   1171 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception5a.branch2.1.conv [91, 7, 0, 1] bit 30
 15) Inj    336 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.1.conv [258, 100, 2, 1] bit 30
 16) Inj    695 | FRcrit=0.855469 | maj=1@1.00 Δmax=0.855 KL=1.934 | inception5a.branch2.1.conv [291, 149, 2, 0] bit 30
 17) Inj    283 | FRcrit=0.531250 | maj=5@0.61 Δmax=0.527 KL=1.109 | inception5a.branch2.1.conv [185, 28, 0, 0] bit 30
 18) Inj     30 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [53, 81, 0, 1] bit 3
 19) Inj     68 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [179, 112, 2, 2] bit 30
 20) Inj    207 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [302, 36, 0, 0] bit 6
 21) Inj     12 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [110, 69, 0, 2] bit 7
 22) Inj      3 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [275, 154, 0, 0] bit 12
 23) Inj    166 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [223, 17, 0, 1] bit 26
 24) Inj    218 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [70, 135, 2, 0] bit 22
