[PROP/wald] K=1  FRcrit_avg=0.02058174  conf=0.99  steps=1  n=1506
half_norm=0.00942450  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1179648
EP_control=wald  E_wald_final=0.00942450
Wald_CI(99%):   [0.01115723, 0.03000624]   half=0.00942450   se=0.00365858   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10992489 (n=1506)
injections_used=1506  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06990268094289509, 0.1436519546812749, 0.08947543160690571, 0.10551025066401062, 0.08088738794820717, 0.08728108399734395, 0.12826558349933598, 0.09287329847277556, 0.08860910524568393, 0.11354322294156706] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0202 per_class = [0.013944223107569721, 0.013944223107569721, 0.01755297649979791, 0.013944223107569721, 0.014608233731739707, 0.012616201859229747, 0.013944223107569721, 0.048977423638778224, 0.011288180610889775, 0.04110225763612218] agree = 0.979 flip_asym = 0.613

[E_seq] n, E_wald
664,0.01505904
1506,0.00942450

[E_final] E_wald=0.00942450

Top-100 worst injections (proposed iter EP)
  1) Inj     90 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [62, 23, 0, 0] bit 30
  2) Inj    351 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5a.branch3.1.conv [50, 2, 2, 2] bit 30
  3) Inj     44 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5a.branch3.1.conv [55, 16, 0, 0] bit 30
  4) Inj   1365 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [12, 18, 2, 2] bit 30
  5) Inj    246 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [63, 22, 2, 0] bit 30
  6) Inj   1045 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [74, 21, 0, 0] bit 30
  7) Inj    622 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [84, 17, 2, 1] bit 30
  8) Inj    599 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [16, 21, 0, 0] bit 30
  9) Inj   1039 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [81, 23, 1, 1] bit 30
 10) Inj    216 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [101, 18, 0, 2] bit 30
 11) Inj    828 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5a.branch3.1.conv [116, 2, 1, 1] bit 30
