[PROP/wald] K=1  FRcrit_avg=0.02024798  conf=0.99  n=16590
half_norm=0.00281690  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=393216
EP_control=wald  E_wald_final=0.00281690
Wald_CI(99%):   [0.01743108, 0.02306489]   half=0.00281690   se=0.00109352   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10816306 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855080244122966, 0.14575892857142858, 0.09840218128390597, 0.10426249811633514, 0.08021233612115733, 0.08559726303496082, 0.12696631065400843, 0.09295697709463532, 0.08463941945449066, 0.1126532832278481] Δmax = 0.009 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0200 per_class = [0.015143779030599581, 0.011498297574246941, 0.00858033912519328, 0.01508717880025897, 0.014996986136226643, 0.014241876267192723, 0.015080278371417613, 0.048161543098251956, 0.015115896761466381, 0.04161342174000402] agree = 0.980 flip_asym = 0.895

[E_seq] n, E_wald
16590,0.00281690

[E_final] E_wald=0.00281690

Top-100 worst injections
  1) Inj  11424 | FRcrit=0.933594 | maj=2@0.61 Δmax=0.520 KL=1.475 | inception3a.branch1.conv [48, 92, 0, 0] bit 30
  2) Inj  13234 | FRcrit=0.925781 | maj=2@0.74 Δmax=0.648 KL=1.596 | inception3a.branch1.conv [60, 53, 0, 0] bit 30
  3) Inj   8874 | FRcrit=0.925781 | maj=5@0.57 Δmax=0.480 KL=1.726 | inception3a.branch1.conv [9, 78, 0, 0] bit 30
  4) Inj   9010 | FRcrit=0.925781 | maj=2@0.72 Δmax=0.629 KL=1.828 | inception3a.branch1.conv [3, 1, 0, 0] bit 30
  5) Inj   2866 | FRcrit=0.921875 | maj=2@0.85 Δmax=0.762 KL=1.996 | inception3a.branch1.conv [3, 166, 0, 0] bit 30
  6) Inj   8457 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.887 KL=2.300 | inception3a.branch1.conv [44, 5, 0, 0] bit 30
  7) Inj  14075 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.875 KL=2.259 | inception3a.branch1.conv [22, 90, 0, 0] bit 30
  8) Inj   3230 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.840 KL=2.158 | inception3a.branch1.conv [2, 13, 0, 0] bit 30
  9) Inj   6950 | FRcrit=0.917969 | maj=2@0.88 Δmax=0.785 KL=1.919 | inception3a.branch1.conv [43, 75, 0, 0] bit 30
 10) Inj   8527 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.855 KL=2.200 | inception3a.branch1.conv [52, 170, 0, 0] bit 30
 11) Inj  12105 | FRcrit=0.917969 | maj=2@0.64 Δmax=0.547 KL=1.588 | inception3a.branch1.conv [60, 113, 0, 0] bit 30
