[PROP/wald] K=1  FRcrit_avg=0.02075493  conf=0.99  n=16590
half_norm=0.00285121  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00285121
Wald_CI(99%):   [0.01790372, 0.02360613]   half=0.00285121   se=0.00110684   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11016776 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06852019288728149, 0.14660634229957806, 0.09903391538577457, 0.10417443678420735, 0.08014264052139844, 0.0849113735684147, 0.12689284772453285, 0.09290870818264015, 0.08459162145871006, 0.11221792118746232] Δmax = 0.009 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0205 per_class = [0.015689820231890226, 0.011249042894612515, 0.008635374898445895, 0.015734601388609826, 0.01560277275467149, 0.015381664748753356, 0.01566843845324858, 0.048634116937914404, 0.0156830511260891, 0.042616033755274264] agree = 0.979 flip_asym = 0.919

[E_seq] n, E_wald
16590,0.00285121

[E_final] E_wald=0.00285121

Top-100 worst injections
  1) Inj    577 | FRcrit=0.929688 | maj=2@0.75 Δmax=0.664 KL=1.735 | inception3a.branch2.0.conv [13, 151, 0, 0] bit 30
  2) Inj   1035 | FRcrit=0.929688 | maj=5@0.59 Δmax=0.504 KL=1.759 | inception3a.branch2.0.conv [69, 151, 0, 0] bit 30
  3) Inj    311 | FRcrit=0.921875 | maj=2@0.96 Δmax=0.875 KL=2.259 | inception3a.branch2.0.conv [56, 12, 0, 0] bit 30
  4) Inj   1159 | FRcrit=0.921875 | maj=2@0.83 Δmax=0.738 KL=1.869 | inception3a.branch2.0.conv [91, 152, 0, 0] bit 30
  5) Inj   5045 | FRcrit=0.921875 | maj=2@0.84 Δmax=0.750 KL=1.894 | inception3a.branch2.0.conv [59, 98, 0, 0] bit 30
  6) Inj  11973 | FRcrit=0.917969 | maj=2@0.89 Δmax=0.805 KL=1.970 | inception3a.branch2.0.conv [64, 76, 0, 0] bit 30
  7) Inj   4597 | FRcrit=0.917969 | maj=2@0.82 Δmax=0.730 KL=1.780 | inception3a.branch2.0.conv [17, 113, 0, 0] bit 30
  8) Inj   4291 | FRcrit=0.917969 | maj=2@0.69 Δmax=0.602 KL=1.626 | inception3a.branch2.0.conv [64, 164, 0, 0] bit 30
  9) Inj  16407 | FRcrit=0.917969 | maj=2@0.95 Δmax=0.863 KL=2.198 | inception3a.branch2.0.conv [45, 69, 0, 0] bit 30
 10) Inj  11598 | FRcrit=0.917969 | maj=2@0.91 Δmax=0.816 KL=1.999 | inception3a.branch2.0.conv [65, 155, 0, 0] bit 30
 11) Inj    328 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.898 KL=2.346 | inception3a.branch2.0.conv [57, 35, 0, 0] bit 30
 12) Inj  13320 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.384 | inception3a.branch2.0.conv [2, 187, 0, 0] bit 30
 13) Inj  13346 | FRcrit=0.914062 | maj=2@0.95 Δmax=0.863 KL=2.207 | inception3a.branch2.0.conv [80, 180, 0, 0] bit 30
 14) Inj  13891 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.898 KL=2.346 | inception3a.branch2.0.conv [56, 134, 0, 0] bit 30
 15) Inj   4569 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch2.0.conv [65, 183, 0, 0] bit 30
 16) Inj  13703 | FRcrit=0.914062 | maj=2@0.89 Δmax=0.797 KL=2.008 | inception3a.branch2.0.conv [54, 155, 0, 0] bit 30
 17) Inj   7845 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.891 KL=2.295 | inception3a.branch2.0.conv [3, 155, 0, 0] bit 30
 18) Inj   3927 | FRcrit=0.914062 | maj=2@0.70 Δmax=0.605 KL=1.768 | inception3a.branch2.0.conv [82, 188, 0, 0] bit 30
 19) Inj   6902 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.891 KL=2.297 | inception3a.branch2.0.conv [35, 52, 0, 0] bit 30
 20) Inj  14728 | FRcrit=0.914062 | maj=1@0.57 Δmax=0.426 KL=1.433 | inception3a.branch2.0.conv [0, 163, 0, 0] bit 30
 21) Inj    822 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [37, 175, 0, 0] bit 30
