[PROP/wald] K=1  FRcrit_avg=0.01979402  conf=0.99  n=16590
half_norm=0.00278579  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00278579
Wald_CI(99%):   [0.01700823, 0.02257981]   half=0.00278579   se=0.00108144   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10556618 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06856916817359855, 0.14979468053044, 0.0911326476793249, 0.10428910488245931, 0.08021068791440628, 0.0879127580620856, 0.12776992917420132, 0.09299206035262206, 0.08466178797468354, 0.11266717525617842] Δmax = 0.005 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0197 per_class = [0.014888487040385775, 0.0072951794470781815, 0.015837198941216553, 0.014857232156810216, 0.014804098854731766, 0.011655433174420516, 0.014081136865946992, 0.04781675708257987, 0.014850128774179407, 0.04131806309021499] agree = 0.980 flip_asym = 0.806

[E_seq] n, E_wald
16590,0.00278579

[E_final] E_wald=0.00278579

Top-100 worst injections
  1) Inj  11153 | FRcrit=0.937500 | maj=2@0.61 Δmax=0.523 KL=1.524 | inception3b.branch1.conv [40, 196, 0, 0] bit 30
  2) Inj  14730 | FRcrit=0.925781 | maj=1@0.50 Δmax=0.352 KL=1.115 | inception3b.branch1.conv [8, 204, 0, 0] bit 30
  3) Inj  15801 | FRcrit=0.921875 | maj=5@0.96 Δmax=0.875 KL=2.269 | inception3b.branch1.conv [12, 56, 0, 0] bit 30
  4) Inj  16209 | FRcrit=0.917969 | maj=5@0.54 Δmax=0.453 KL=1.524 | inception3b.branch1.conv [5, 163, 0, 0] bit 30
  5) Inj   5143 | FRcrit=0.917969 | maj=5@0.88 Δmax=0.789 KL=2.012 | inception3b.branch1.conv [5, 127, 0, 0] bit 30
  6) Inj   7252 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [115, 121, 0, 0] bit 30
  7) Inj   7888 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [25, 224, 0, 0] bit 30
  8) Inj   7706 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [54, 124, 0, 0] bit 30
  9) Inj  10918 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [82, 68, 0, 0] bit 30
 10) Inj   2813 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [25, 160, 0, 0] bit 30
 11) Inj   8784 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.906 KL=2.404 | inception3b.branch1.conv [12, 157, 0, 0] bit 30
 12) Inj   4252 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [58, 112, 0, 0] bit 30
 13) Inj   3280 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception3b.branch1.conv [45, 140, 0, 0] bit 30
