[PROP/wald] K=1  FRcrit_avg=0.01863724  conf=0.99  n=15603
half_norm=0.00270472  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=262144
EP_control=wald  E_wald_final=0.00270472
Wald_CI(99%):   [0.01593252, 0.02134196]   half=0.00270472   se=0.00104997   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10094753 (n=15603)
injections_used=15603  pilot=15603
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06866868550919696, 0.149014061799013, 0.09526137802025252, 0.10441251281804781, 0.08031207940780619, 0.08480240178170864, 0.12716805261808625, 0.09312211593924245, 0.08478062111452926, 0.1124580909921169] Δmax = 0.005 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0185 per_class = [0.013477800272195015, 0.0069425318415897155, 0.010432776305559967, 0.013492182177691374, 0.013455745689931423, 0.013453123816515472, 0.0134958506425532, 0.046488495802089344, 0.013461863394568644, 0.04040248670127539] agree = 0.981 flip_asym = 0.898

[E_seq] n, E_wald
15603,0.00270472

[E_final] E_wald=0.00270472

Top-100 worst injections
  1) Inj   3972 | FRcrit=0.929688 | maj=2@0.72 Δmax=0.633 KL=1.687 | inception3b.branch3.0.conv [12, 202, 0, 0] bit 30
  2) Inj  14650 | FRcrit=0.925781 | maj=2@0.83 Δmax=0.738 KL=1.869 | inception3b.branch3.0.conv [15, 240, 0, 0] bit 30
  3) Inj  11156 | FRcrit=0.917969 | maj=2@0.89 Δmax=0.797 KL=2.003 | inception3b.branch3.0.conv [12, 159, 0, 0] bit 30
  4) Inj  14402 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3b.branch3.0.conv [4, 218, 0, 0] bit 30
  5) Inj   1062 | FRcrit=0.914062 | maj=2@0.88 Δmax=0.789 KL=1.983 | inception3b.branch3.0.conv [14, 180, 0, 0] bit 30
  6) Inj  11444 | FRcrit=0.914062 | maj=2@0.91 Δmax=0.820 KL=2.065 | inception3b.branch3.0.conv [21, 160, 0, 0] bit 30
  7) Inj   1009 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.362 | inception3b.branch3.0.conv [1, 129, 0, 0] bit 30
  8) Inj   1921 | FRcrit=0.910156 | maj=2@0.73 Δmax=0.641 KL=1.699 | inception3b.branch3.0.conv [13, 109, 0, 0] bit 30
  9) Inj    510 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [16, 158, 0, 0] bit 30
 10) Inj    392 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [27, 39, 0, 0] bit 30
 11) Inj   1794 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [30, 58, 0, 0] bit 30
 12) Inj   1910 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [30, 191, 0, 0] bit 30
 13) Inj   7441 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [30, 113, 0, 0] bit 30
 14) Inj   4191 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [27, 42, 0, 0] bit 30
 15) Inj   2302 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch3.0.conv [9, 113, 0, 0] bit 30
