[PROP/wald] K=1  FRcrit_avg=0.01959388  conf=0.99  n=16590
half_norm=0.00277195  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=5750784
EP_control=wald  E_wald_final=0.00277195
Wald_CI(99%):   [0.01682193, 0.02236584]   half=0.00277195   se=0.00107607   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10448963 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06867182790837854, 0.1489993030440024, 0.0928335970464135, 0.10444921639541893, 0.08028909546413503, 0.08588593467450271, 0.12788930643459914, 0.09314181170886075, 0.08486145644966847, 0.11297845087402049] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0195 per_class = [0.01447718327837464, 0.007928905397259827, 0.01384804885080064, 0.014598263121469873, 0.014436407474382159, 0.013430872924543811, 0.013686594699252926, 0.04747438215792646, 0.0143870897035454, 0.0408217801888688] agree = 0.980 flip_asym = 0.766

[E_seq] n, E_wald
16590,0.00277195

[E_final] E_wald=0.00277195

Top-100 worst injections
  1) Inj  15556 | FRcrit=0.949219 | maj=2@0.46 Δmax=0.375 KL=1.318 | inception4a.branch2.1.conv [115, 57, 1, 2] bit 30
  2) Inj   9731 | FRcrit=0.949219 | maj=1@0.52 Δmax=0.402 KL=1.537 | inception4a.branch2.1.conv [9, 20, 2, 0] bit 30
  3) Inj   6861 | FRcrit=0.933594 | maj=1@0.64 Δmax=0.500 KL=1.287 | inception4a.branch2.1.conv [94, 57, 2, 2] bit 30
  4) Inj   8068 | FRcrit=0.929688 | maj=2@0.81 Δmax=0.723 KL=1.838 | inception4a.branch2.1.conv [76, 83, 0, 0] bit 30
  5) Inj  13848 | FRcrit=0.929688 | maj=1@0.43 Δmax=0.340 KL=1.216 | inception4a.branch2.1.conv [96, 36, 0, 1] bit 30
  6) Inj  15523 | FRcrit=0.925781 | maj=2@0.64 Δmax=0.555 KL=1.590 | inception4a.branch2.1.conv [196, 44, 0, 2] bit 30
  7) Inj   4265 | FRcrit=0.921875 | maj=5@0.69 Δmax=0.602 KL=1.584 | inception4a.branch2.1.conv [30, 23, 0, 0] bit 30
  8) Inj  12081 | FRcrit=0.921875 | maj=2@0.95 Δmax=0.863 KL=2.198 | inception4a.branch2.1.conv [46, 70, 0, 1] bit 30
  9) Inj   9792 | FRcrit=0.921875 | maj=2@0.94 Δmax=0.848 KL=2.146 | inception4a.branch2.1.conv [13, 3, 2, 1] bit 30
 10) Inj   5162 | FRcrit=0.917969 | maj=2@0.52 Δmax=0.426 KL=1.487 | inception4a.branch2.1.conv [71, 73, 0, 0] bit 30
 11) Inj   7227 | FRcrit=0.917969 | maj=2@0.86 Δmax=0.766 KL=1.928 | inception4a.branch2.1.conv [118, 37, 2, 1] bit 30
 12) Inj   1761 | FRcrit=0.917969 | maj=2@0.83 Δmax=0.738 KL=1.869 | inception4a.branch2.1.conv [76, 54, 2, 0] bit 30
 13) Inj  12131 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [66, 81, 0, 1] bit 30
 14) Inj   1045 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [2, 76, 0, 1] bit 30
 15) Inj   4030 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [65, 12, 2, 1] bit 30
 16) Inj  13562 | FRcrit=0.914062 | maj=5@0.73 Δmax=0.641 KL=1.601 | inception4a.branch2.1.conv [90, 37, 0, 1] bit 30
 17) Inj  13922 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception4a.branch2.1.conv [70, 10, 1, 1] bit 30
 18) Inj   5689 | FRcrit=0.914062 | maj=2@0.94 Δmax=0.852 KL=2.159 | inception4a.branch2.1.conv [89, 59, 0, 0] bit 30
 19) Inj  12190 | FRcrit=0.914062 | maj=2@0.86 Δmax=0.770 KL=1.937 | inception4a.branch2.1.conv [118, 46, 0, 0] bit 30
 20) Inj    986 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [65, 34, 1, 1] bit 30
 21) Inj   6763 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [103, 53, 2, 1] bit 30
 22) Inj   6221 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [149, 57, 2, 0] bit 30
 23) Inj   4140 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.895 KL=2.322 | inception4a.branch2.1.conv [174, 5, 0, 2] bit 30
 24) Inj   5476 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch2.1.conv [66, 91, 1, 2] bit 30
