[PROP/wald] K=1  FRcrit_avg=0.02299343  conf=0.99  n=16590
half_norm=0.00299760  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=983040
EP_control=wald  E_wald_final=0.00299760
Wald_CI(99%):   [0.01999583, 0.02599102]   half=0.00299760   se=0.00116366   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11454476 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06846556660638939, 0.15241226830922242, 0.09027934749849306, 0.10430676424050633, 0.08021633890898132, 0.08569026898734178, 0.12755754596142255, 0.0929612153405666, 0.0846888656570223, 0.11342181849005425] Δmax = 0.008 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0231 per_class = [0.018693046838988762, 0.007391297264714986, 0.020017296957307966, 0.018435916326211686, 0.018071127185051234, 0.017595484684092277, 0.017895044477322958, 0.05128631705846896, 0.018099621897090253, 0.043916013662849106] agree = 0.977 flip_asym = 0.733

[E_seq] n, E_wald
16590,0.00299760

[E_final] E_wald=0.00299760

Top-100 worst injections
  1) Inj    985 | FRcrit=0.925781 | maj=2@0.93 Δmax=0.836 KL=2.110 | inception4a.branch4.1.conv [19, 468, 0, 0] bit 30
  2) Inj   2021 | FRcrit=0.921875 | maj=8@0.96 Δmax=0.871 KL=2.255 | inception4a.branch4.1.conv [13, 404, 0, 0] bit 30
  3) Inj   8509 | FRcrit=0.921875 | maj=8@0.96 Δmax=0.875 KL=2.264 | inception4a.branch4.1.conv [13, 333, 0, 0] bit 30
  4) Inj   2228 | FRcrit=0.917969 | maj=5@0.96 Δmax=0.879 KL=2.284 | inception4a.branch4.1.conv [5, 136, 0, 0] bit 30
  5) Inj  15302 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 319, 0, 0] bit 30
  6) Inj  14963 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 24, 0, 0] bit 30
  7) Inj   2961 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [47, 126, 0, 0] bit 30
  8) Inj   7179 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 433, 0, 0] bit 30
  9) Inj   8710 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 154, 0, 0] bit 30
 10) Inj   3700 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [47, 94, 0, 0] bit 30
 11) Inj  14309 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 80, 0, 0] bit 30
 12) Inj  14214 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 455, 0, 0] bit 30
 13) Inj  13873 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 294, 0, 0] bit 30
 14) Inj  15024 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception4a.branch4.1.conv [47, 360, 0, 0] bit 30
 15) Inj  10188 | FRcrit=0.914062 | maj=5@0.96 Δmax=0.875 KL=2.269 | inception4a.branch4.1.conv [31, 416, 0, 0] bit 30
 16) Inj   4523 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [47, 444, 0, 0] bit 30
 17) Inj   1066 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [46, 470, 0, 0] bit 30
 18) Inj   7440 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 447, 0, 0] bit 30
 19) Inj  11425 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 356, 0, 0] bit 30
 20) Inj   5377 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 247, 0, 0] bit 30
 21) Inj   3199 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [51, 170, 0, 0] bit 30
 22) Inj   3626 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4a.branch4.1.conv [55, 40, 0, 0] bit 30
 23) Inj   4004 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [56, 276, 0, 0] bit 30
 24) Inj   3695 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception4a.branch4.1.conv [53, 428, 0, 0] bit 30
 25) Inj   2102 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [56, 112, 0, 0] bit 30
 26) Inj    139 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [32, 254, 0, 0] bit 30
 27) Inj  12565 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [26, 71, 0, 0] bit 30
 28) Inj  16153 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [56, 193, 0, 0] bit 30
 29) Inj  15157 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [56, 437, 0, 0] bit 30
 30) Inj   9289 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [56, 368, 0, 0] bit 30
 31) Inj   1414 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [32, 436, 0, 0] bit 30
 32) Inj  15138 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception4a.branch4.1.conv [53, 253, 0, 0] bit 30
 33) Inj   6831 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4a.branch4.1.conv [53, 33, 0, 0] bit 30
