[PROP/wald] K=1  FRcrit_avg=0.02174338  conf=0.99  n=16590
half_norm=0.00291684  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00291684
Wald_CI(99%):   [0.01882654, 0.02466022]   half=0.00291684   se=0.00113231   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11147672 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06846627298071127, 0.15127853752260398, 0.08972978827606992, 0.1050708257986739, 0.08017725286317058, 0.0866784866636528, 0.12742639579566004, 0.09307635435503316, 0.08472441983122363, 0.11337166591320072] Δmax = 0.007 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0218 per_class = [0.01717547778605113, 0.007668246908753238, 0.019275624393951307, 0.01643560377737593, 0.016892706449668476, 0.014954244068168119, 0.016463002538951905, 0.04985895117540687, 0.016883116883116882, 0.04251557162949568] agree = 0.978 flip_asym = 0.742

[E_seq] n, E_wald
16590,0.00291684

[E_final] E_wald=0.00291684

Top-100 worst injections
  1) Inj   3533 | FRcrit=0.937500 | maj=3@0.68 Δmax=0.574 KL=1.466 | inception4b.branch4.1.conv [31, 457, 0, 0] bit 30
  2) Inj   3941 | FRcrit=0.929688 | maj=1@0.52 Δmax=0.375 KL=1.409 | inception4b.branch4.1.conv [50, 283, 0, 0] bit 30
  3) Inj  15001 | FRcrit=0.925781 | maj=5@0.51 Δmax=0.422 KL=1.505 | inception4b.branch4.1.conv [15, 233, 0, 0] bit 30
  4) Inj   8220 | FRcrit=0.921875 | maj=1@0.61 Δmax=0.469 KL=1.451 | inception4b.branch4.1.conv [28, 349, 0, 0] bit 30
  5) Inj   9216 | FRcrit=0.921875 | maj=5@0.77 Δmax=0.684 KL=1.777 | inception4b.branch4.1.conv [36, 463, 0, 0] bit 30
  6) Inj  10817 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [13, 206, 0, 0] bit 30
  7) Inj  10225 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [22, 225, 0, 0] bit 30
  8) Inj   2337 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception4b.branch4.1.conv [22, 217, 0, 0] bit 30
  9) Inj   2320 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [22, 165, 0, 0] bit 30
 10) Inj   4356 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [45, 179, 0, 0] bit 30
 11) Inj   2347 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [22, 377, 0, 0] bit 30
 12) Inj   6945 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [13, 511, 0, 0] bit 30
 13) Inj   5583 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [22, 146, 0, 0] bit 30
 14) Inj   8372 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [13, 397, 0, 0] bit 30
 15) Inj   5529 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [22, 149, 0, 0] bit 30
 16) Inj   3498 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [20, 396, 0, 0] bit 30
 17) Inj  15818 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [46, 510, 0, 0] bit 30
 18) Inj   8058 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [46, 247, 0, 0] bit 30
 19) Inj   1443 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4b.branch4.1.conv [13, 15, 0, 0] bit 30
