[PROP/wald] K=1  FRcrit_avg=0.01903326  conf=0.99  n=16590
half_norm=0.00273279  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2097152
EP_control=wald  E_wald_final=0.00273279
Wald_CI(99%):   [0.01630047, 0.02176605]   half=0.00273279   se=0.00106087   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10236532 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06862473628691983, 0.14978290762507535, 0.08937518836648584, 0.10450549088306209, 0.0803519627787824, 0.08868694431886678, 0.1283738792194093, 0.09307517706449668, 0.08475856125678119, 0.11246515220012056] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0190 per_class = [0.014009147962982662, 0.006619096492514214, 0.016877637130801686, 0.013895028241019802, 0.013899939722724533, 0.01001150747986191, 0.012778782399035564, 0.04699457504520796, 0.013981588032220944, 0.04078963230861965] agree = 0.981 flip_asym = 0.838

[E_seq] n, E_wald
16590,0.00273279

[E_final] E_wald=0.00273279

Top-100 worst injections
  1) Inj    131 | FRcrit=0.937500 | maj=5@0.66 Δmax=0.574 KL=1.798 | inception4c.branch2.0.conv [15, 320, 0, 0] bit 30
  2) Inj  12404 | FRcrit=0.933594 | maj=2@0.50 Δmax=0.414 KL=1.739 | inception4c.branch2.0.conv [126, 165, 0, 0] bit 30
  3) Inj   1226 | FRcrit=0.921875 | maj=6@0.46 Δmax=0.336 KL=1.171 | inception4c.branch2.0.conv [24, 257, 0, 0] bit 30
  4) Inj   6782 | FRcrit=0.921875 | maj=5@0.97 Δmax=0.887 KL=2.301 | inception4c.branch2.0.conv [88, 184, 0, 0] bit 30
  5) Inj   1298 | FRcrit=0.921875 | maj=5@0.88 Δmax=0.797 KL=2.032 | inception4c.branch2.0.conv [97, 373, 0, 0] bit 30
  6) Inj   4945 | FRcrit=0.921875 | maj=4@0.97 Δmax=0.895 KL=2.400 | inception4c.branch2.0.conv [82, 396, 0, 0] bit 30
  7) Inj  11420 | FRcrit=0.921875 | maj=5@0.94 Δmax=0.855 KL=2.219 | inception4c.branch2.0.conv [23, 342, 0, 0] bit 30
  8) Inj  15326 | FRcrit=0.921875 | maj=5@0.83 Δmax=0.742 KL=1.906 | inception4c.branch2.0.conv [117, 247, 0, 0] bit 30
  9) Inj   8929 | FRcrit=0.917969 | maj=5@0.85 Δmax=0.766 KL=2.028 | inception4c.branch2.0.conv [15, 203, 0, 0] bit 30
 10) Inj   1085 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [23, 102, 0, 0] bit 30
 11) Inj    149 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4c.branch2.0.conv [44, 385, 0, 0] bit 30
