[PROP/wald] K=1  FRcrit_avg=0.01844485  conf=0.99  n=16590
half_norm=0.00269102  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2359296
EP_control=wald  E_wald_final=0.00269102
Wald_CI(99%):   [0.01575382, 0.02113587]   half=0.00269102   se=0.00104465   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09953706 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0686951382610006, 0.15010360156720917, 0.09046347573839662, 0.10444356540084389, 0.08035502373417722, 0.08479364451476794, 0.12721542533152502, 0.09319596707353828, 0.08572488132911392, 0.11500927704942737] Δmax = 0.006 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0184 per_class = [0.013381555153707052, 0.005853412182526107, 0.015226563933223261, 0.013345835286763556, 0.013321277878239904, 0.013329497506712697, 0.013290225948453797, 0.04654370102471368, 0.012419858622390268, 0.037739602169981915] agree = 0.982 flip_asym = 0.812

[E_seq] n, E_wald
16590,0.00269102

[E_final] E_wald=0.00269102

Top-100 worst injections
  1) Inj  14423 | FRcrit=0.949219 | maj=1@0.48 Δmax=0.383 KL=1.346 | inception4d.branch2.0.conv [53, 340, 0, 0] bit 30
  2) Inj   5698 | FRcrit=0.937500 | maj=7@0.43 Δmax=0.328 KL=1.149 | inception4d.branch2.0.conv [124, 150, 0, 0] bit 30
  3) Inj   1574 | FRcrit=0.925781 | maj=2@0.86 Δmax=0.770 KL=1.937 | inception4d.branch2.0.conv [94, 249, 0, 0] bit 30
  4) Inj  12434 | FRcrit=0.917969 | maj=8@0.96 Δmax=0.879 KL=2.258 | inception4d.branch2.0.conv [52, 186, 0, 0] bit 30
  5) Inj  16290 | FRcrit=0.917969 | maj=2@0.78 Δmax=0.688 KL=1.685 | inception4d.branch2.0.conv [40, 237, 0, 0] bit 30
  6) Inj  10314 | FRcrit=0.914062 | maj=2@0.78 Δmax=0.688 KL=1.889 | inception4d.branch2.0.conv [18, 461, 0, 0] bit 30
  7) Inj  10334 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [129, 69, 0, 0] bit 30
  8) Inj  12146 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [49, 186, 0, 0] bit 30
  9) Inj  16282 | FRcrit=0.914062 | maj=8@0.99 Δmax=0.906 KL=2.404 | inception4d.branch2.0.conv [70, 511, 0, 0] bit 30
 10) Inj  14702 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [16, 376, 0, 0] bit 30
 11) Inj  11875 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [98, 270, 0, 0] bit 30
 12) Inj   4401 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [143, 129, 0, 0] bit 30
 13) Inj   4846 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [49, 286, 0, 0] bit 30
 14) Inj  15023 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [16, 130, 0, 0] bit 30
 15) Inj  11744 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [70, 198, 0, 0] bit 30
 16) Inj   5750 | FRcrit=0.914062 | maj=8@0.99 Δmax=0.906 KL=2.404 | inception4d.branch2.0.conv [135, 130, 0, 0] bit 30
 17) Inj  16445 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.0.conv [129, 93, 0, 0] bit 30
 18) Inj  15703 | FRcrit=0.914062 | maj=8@0.92 Δmax=0.832 KL=2.128 | inception4d.branch2.0.conv [48, 178, 0, 0] bit 30
 19) Inj   9139 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [127, 131, 0, 0] bit 30
 20) Inj   4416 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [66, 213, 0, 0] bit 30
 21) Inj   5579 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [62, 213, 0, 0] bit 30
 22) Inj  10732 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [79, 89, 0, 0] bit 30
 23) Inj   4194 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception4d.branch2.0.conv [78, 374, 0, 0] bit 30
 24) Inj   5506 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception4d.branch2.0.conv [45, 221, 0, 0] bit 30
 25) Inj  13144 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [109, 237, 0, 0] bit 30
 26) Inj   1921 | FRcrit=0.910156 | maj=2@0.96 Δmax=0.875 KL=2.241 | inception4d.branch2.0.conv [97, 162, 0, 0] bit 30
 27) Inj  12482 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [73, 238, 0, 0] bit 30
 28) Inj  12944 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [109, 268, 0, 0] bit 30
 29) Inj  13151 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [78, 282, 0, 0] bit 30
 30) Inj  14548 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [79, 434, 0, 0] bit 30
 31) Inj   2877 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [27, 497, 0, 0] bit 30
 32) Inj   6506 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception4d.branch2.0.conv [130, 178, 0, 0] bit 30
 33) Inj  10421 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.0.conv [27, 297, 0, 0] bit 30
