[PROP/wald] K=1  FRcrit_avg=0.02057621  conf=0.99  n=16590
half_norm=0.00283917  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=11943936
EP_control=wald  E_wald_final=0.00283917
Wald_CI(99%):   [0.01773705, 0.02341538]   half=0.00283917   se=0.00110216   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10887516 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06912555568113321, 0.14851496571729958, 0.09000409697106691, 0.10502279234478601, 0.08049865317962628, 0.08614446767631104, 0.12742239300783603, 0.09332405628390597, 0.0850580639692586, 0.11488495516877636] Δmax = 0.004 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.277 ΔH = -0.001 BER = 0.0205 per_class = [0.015062227422614616, 0.009514034830490526, 0.017760830253950782, 0.014810349831446877, 0.015265220012055455, 0.014058304564633679, 0.015091237876048002, 0.04839300783604581, 0.015195353170036714, 0.039811131203536264] agree = 0.979 flip_asym = 0.640

[E_seq] n, E_wald
16590,0.00283917

[E_final] E_wald=0.00283917

Top-100 worst injections
  1) Inj  15276 | FRcrit=0.957031 | maj=1@0.66 Δmax=0.512 KL=1.454 | inception4d.branch2.1.conv [242, 42, 1, 1] bit 30
  2) Inj   4751 | FRcrit=0.945312 | maj=1@0.68 Δmax=0.535 KL=1.274 | inception4d.branch2.1.conv [183, 26, 2, 0] bit 30
  3) Inj   3736 | FRcrit=0.941406 | maj=0@0.78 Δmax=0.711 KL=2.058 | inception4d.branch2.1.conv [231, 28, 0, 1] bit 30
  4) Inj   4331 | FRcrit=0.937500 | maj=1@0.73 Δmax=0.590 KL=1.493 | inception4d.branch2.1.conv [17, 42, 2, 1] bit 30
  5) Inj  10232 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [222, 120, 2, 0] bit 30
  6) Inj  11072 | FRcrit=0.933594 | maj=0@0.97 Δmax=0.906 KL=2.568 | inception4d.branch2.1.conv [167, 69, 0, 1] bit 30
  7) Inj   6126 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [249, 51, 2, 0] bit 30
  8) Inj   5276 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [264, 111, 0, 1] bit 30
  9) Inj   8765 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [117, 63, 2, 1] bit 30
 10) Inj   5721 | FRcrit=0.933594 | maj=8@0.57 Δmax=0.480 KL=1.424 | inception4d.branch2.1.conv [160, 97, 1, 0] bit 30
 11) Inj   4648 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [38, 108, 2, 1] bit 30
 12) Inj  14178 | FRcrit=0.933594 | maj=0@0.98 Δmax=0.918 KL=2.627 | inception4d.branch2.1.conv [222, 96, 1, 2] bit 30
 13) Inj   2413 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4d.branch2.1.conv [84, 138, 1, 1] bit 30
 14) Inj   2425 | FRcrit=0.929688 | maj=4@0.86 Δmax=0.785 KL=2.066 | inception4d.branch2.1.conv [218, 114, 1, 0] bit 30
 15) Inj   1109 | FRcrit=0.929688 | maj=0@0.93 Δmax=0.863 KL=2.411 | inception4d.branch2.1.conv [167, 69, 2, 2] bit 30
 16) Inj   1854 | FRcrit=0.925781 | maj=4@0.93 Δmax=0.848 KL=2.239 | inception4d.branch2.1.conv [16, 43, 2, 1] bit 30
 17) Inj   5379 | FRcrit=0.925781 | maj=2@0.69 Δmax=0.598 KL=1.763 | inception4d.branch2.1.conv [233, 15, 2, 0] bit 30
 18) Inj  15506 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch2.1.conv [284, 55, 1, 2] bit 30
 19) Inj   4528 | FRcrit=0.921875 | maj=2@0.49 Δmax=0.402 KL=1.307 | inception4d.branch2.1.conv [221, 15, 2, 0] bit 30
 20) Inj   2406 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch2.1.conv [88, 130, 2, 0] bit 30
 21) Inj   3562 | FRcrit=0.921875 | maj=5@0.81 Δmax=0.723 KL=1.866 | inception4d.branch2.1.conv [62, 63, 0, 2] bit 30
 22) Inj  14197 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch2.1.conv [142, 14, 1, 2] bit 30
 23) Inj  11196 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4d.branch2.1.conv [88, 114, 0, 0] bit 30
 24) Inj   3045 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [13, 134, 1, 2] bit 30
 25) Inj  12359 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [46, 118, 1, 2] bit 30
 26) Inj   2393 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [77, 105, 0, 2] bit 30
 27) Inj   2199 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [72, 34, 1, 1] bit 30
 28) Inj   1244 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception4d.branch2.1.conv [77, 42, 1, 0] bit 30
