[PROP/wald] K=1  FRcrit_avg=0.02098144  conf=0.99  n=16590
half_norm=0.00286639  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2162688
EP_control=wald  E_wald_final=0.00286639
Wald_CI(99%):   [0.01811504, 0.02384783]   half=0.00286639   se=0.00111273   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11111252 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06880650994575045, 0.1429256611663653, 0.09258071503918022, 0.10640728601567209, 0.08134041591320072, 0.08568862078059072, 0.1279458163803496, 0.09516321955997589, 0.08537687424653406, 0.11376488095238095] Δmax = 0.003 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0206 per_class = [0.015459348296280538, 0.01506117328902139, 0.01542574101737558, 0.013631594222311522, 0.01461121157323689, 0.014674776700093156, 0.014806290755657845, 0.04668836648583484, 0.014866568031124993, 0.0410126582278481] agree = 0.979 flip_asym = 0.572

[E_seq] n, E_wald
16590,0.00286639

[E_final] E_wald=0.00286639

Top-100 worst injections
  1) Inj  14725 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch4.1.conv [25, 386, 0, 0] bit 30
  2) Inj  10592 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch4.1.conv [25, 20, 0, 0] bit 30
  3) Inj   6707 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch4.1.conv [25, 229, 0, 0] bit 30
  4) Inj  10806 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch4.1.conv [25, 13, 0, 0] bit 30
  5) Inj    138 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception4e.branch4.1.conv [25, 27, 0, 0] bit 30
  6) Inj   1028 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [85, 284, 0, 0] bit 30
  7) Inj   7720 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [2, 316, 0, 0] bit 30
  8) Inj  11165 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [39, 526, 0, 0] bit 30
  9) Inj   7950 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [39, 110, 0, 0] bit 30
 10) Inj   8534 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [5, 409, 0, 0] bit 30
 11) Inj  10007 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [112, 248, 0, 0] bit 30
 12) Inj  15375 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [41, 489, 0, 0] bit 30
 13) Inj  11468 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [101, 29, 0, 0] bit 30
 14) Inj   1603 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [58, 11, 0, 0] bit 30
 15) Inj   1755 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [5, 148, 0, 0] bit 30
 16) Inj   6479 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception4e.branch4.1.conv [5, 78, 0, 0] bit 30
