[PROP/wald] K=1  FRcrit_avg=0.01473144  conf=0.99  n=16590
half_norm=0.00240948  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=21233664
EP_control=wald  E_wald_final=0.00240948
Wald_CI(99%):   [0.01232196, 0.01714091]   half=0.00240948   se=0.00093536   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.08338691 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07034828963230862, 0.1439944055153707, 0.08982773884870404, 0.10573340491259794, 0.08160483536769138, 0.08626007760699217, 0.12825756291440626, 0.09395720313441833, 0.08613881668173598, 0.11387766538577457] Δmax = 0.004 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0144 per_class = [0.007431833492890828, 0.007995699134939641, 0.011714757449485023, 0.007967762820083496, 0.007899336949969861, 0.007718231135952655, 0.00829086525289057, 0.04177697408077155, 0.00783056605841416, 0.03488045007032349] agree = 0.985 flip_asym = 0.619

[E_seq] n, E_wald
16590,0.00240948

[E_final] E_wald=0.00240948

Top-100 worst injections
  1) Inj  13313 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [21, 43, 1, 0] bit 30
  2) Inj  15405 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [201, 63, 1, 1] bit 30
  3) Inj   1669 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [209, 116, 1, 0] bit 30
  4) Inj  15771 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [220, 58, 2, 0] bit 30
  5) Inj   5910 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [38, 5, 0, 1] bit 30
  6) Inj   6736 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [322, 152, 2, 1] bit 30
  7) Inj   3706 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [38, 63, 1, 2] bit 30
  8) Inj   2973 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [232, 190, 0, 1] bit 30
  9) Inj  15214 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [68, 136, 0, 2] bit 30
 10) Inj   7779 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [345, 25, 2, 1] bit 30
 11) Inj  15460 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [68, 26, 1, 0] bit 30
 12) Inj   8214 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [68, 74, 2, 0] bit 30
 13) Inj   3450 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [332, 63, 1, 2] bit 30
 14) Inj  12075 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [324, 187, 2, 2] bit 30
 15) Inj  16247 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [209, 59, 0, 1] bit 30
 16) Inj  13976 | FRcrit=0.933594 | maj=0@1.00 Δmax=0.934 KL=2.712 | inception5b.branch2.1.conv [194, 57, 0, 0] bit 30
 17) Inj  15080 | FRcrit=0.929688 | maj=0@1.00 Δmax=0.930 KL=2.683 | inception5b.branch2.1.conv [218, 148, 1, 2] bit 30
 18) Inj   5321 | FRcrit=0.929688 | maj=0@1.00 Δmax=0.930 KL=2.683 | inception5b.branch2.1.conv [211, 154, 1, 1] bit 30
 19) Inj   3166 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [35, 108, 2, 1] bit 30
 20) Inj  10880 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [297, 9, 1, 1] bit 30
 21) Inj  13680 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [205, 44, 2, 0] bit 30
 22) Inj  12516 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [106, 95, 2, 2] bit 30
 23) Inj  14590 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [31, 169, 1, 1] bit 30
 24) Inj   2620 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [29, 106, 2, 0] bit 30
 25) Inj   8612 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [126, 100, 1, 2] bit 30
 26) Inj   6835 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [36, 40, 1, 1] bit 30
 27) Inj   7463 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [184, 45, 1, 0] bit 30
 28) Inj  10196 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [168, 149, 0, 1] bit 30
 29) Inj   7403 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [41, 95, 0, 1] bit 30
 30) Inj   2001 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [14, 123, 1, 1] bit 30
 31) Inj   1915 | FRcrit=0.921875 | maj=4@1.00 Δmax=0.922 KL=2.549 | inception5b.branch2.1.conv [205, 30, 2, 2] bit 30
 32) Inj   7801 | FRcrit=0.917969 | maj=4@1.00 Δmax=0.918 KL=2.522 | inception5b.branch2.1.conv [245, 156, 1, 2] bit 30
 33) Inj   3643 | FRcrit=0.917969 | maj=0@0.98 Δmax=0.918 KL=2.614 | inception5b.branch2.1.conv [161, 156, 2, 2] bit 30
 34) Inj    511 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [174, 40, 0, 1] bit 30
 35) Inj   6440 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [18, 71, 2, 0] bit 30
 36) Inj   5811 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [11, 96, 0, 2] bit 30
 37) Inj   1925 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [375, 12, 2, 1] bit 30
 38) Inj  12351 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [174, 129, 1, 2] bit 30
 39) Inj   2022 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [276, 7, 2, 2] bit 30
 40) Inj    190 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [321, 56, 0, 1] bit 30
 41) Inj   1118 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [348, 12, 1, 0] bit 30
 42) Inj   5336 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [169, 129, 2, 2] bit 30
 43) Inj   5230 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [346, 42, 1, 0] bit 30
